,DOLocationID,Half Year Sum,01,02,03,04,05,06
0,4,39851,6949,6256,7024,6437,6695,6490
1,12,9446,1414,1135,1506,1758,1713,1920
2,13,122901,19061,17308,21179,21570,22205,21578
3,24,43899,7788,6596,7505,7188,7624,7198
4,41,72957,13016,11813,13182,11692,11719,11535
5,42,40379,7081,6657,7427,6458,6327,6429
6,43,232721,39466,33700,37618,43325,41398,37214
7,45,32034,5459,4992,5604,5438,5247,5294
8,48,319678,57014,50239,57330,52085,51981,51029
9,50,153973,24198,23690,31483,26199,25052,23351
10,68,291802,48781,45181,53730,50229,48488,45393
11,74,96424,16429,15089,17006,15508,16152,16240
12,75,159006,28834,25594,27364,25795,26686,24733
13,79,198950,35617,32304,36289,32665,32785,29290
14,87,73087,11826,11156,12785,11977,12853,12490
15,88,48689,7570,6973,8607,8435,8671,8433
16,90,185842,33497,30277,33969,30403,30012,27684
17,100,232624,39354,36638,42749,39116,38514,36253
18,105,9,2,3,1,1,1,1
19,107,234636,41842,37880,40957,38229,39690,36038
20,113,182792,32112,29821,32031,31109,30862,26857
21,114,118918,20186,19364,21532,20346,19648,17842
22,116,20711,3494,3422,3720,3235,3337,3503
23,120,337,46,62,71,60,43,55
24,125,67051,11197,11089,11940,11519,11090,10216
25,127,4106,694,714,739,618,658,683
26,128,570,96,82,99,94,102,97
27,137,148306,27906,23878,25271,23565,24602,23084
28,140,258692,49195,40587,43389,42400,43756,39365
29,141,343681,65646,54971,58059,56612,56548,51845
30,142,419884,76867,67128,71639,68059,72502,63689
31,143,192393,37299,31068,32341,30458,32248,28979
32,144,115528,19207,18543,20560,19346,19905,17967
33,148,89449,14649,14140,15789,15443,15027,14401
34,151,117288,21469,18741,19806,18660,20086,18526
35,152,17752,2945,2877,3279,2822,2951,2878
36,153,286,57,59,49,47,35,39
37,158,137562,23235,22492,25494,21449,23213,21679
38,161,575097,99570,90841,101748,97469,97912,87557
39,162,408192,71945,63910,70380,68331,69321,64305
40,163,354769,61457,56209,61811,59592,60546,55154
41,164,283481,48918,45522,51049,47935,46031,44026
42,166,109920,17245,17726,18516,19243,19979,17211
43,170,409770,70756,64608,71925,67563,68409,66509
44,186,373605,64939,60570,64295,61171,63108,59522
45,194,2817,124,134,201,503,1416,439
46,202,2370,401,358,461,419,402,329
47,209,28901,4652,4380,4946,5068,4927,4928
48,211,127153,21364,20687,22604,21521,21374,19603
49,224,38298,6844,6207,6686,6092,6387,6082
50,229,233280,42374,37765,40647,37978,38735,35781
51,230,375862,65447,57767,65189,63152,64898,59409
52,231,203672,34791,32863,36410,34406,33978,31224
53,232,42176,7716,6489,7576,6863,7088,6444
54,233,172549,28620,26144,31575,28446,29909,27855
55,234,394257,70681,65421,70766,65697,64206,57486
56,236,712648,134064,112862,115713,120258,123238,106513
57,237,707481,127288,109583,116656,120955,125945,107054
58,238,313182,60277,50694,52384,50294,52205,47328
59,239,391815,73699,62329,66793,63331,66090,59573
60,243,11106,1819,1754,1907,1824,1876,1926
61,244,29096,4873,4585,5069,4811,5068,4690
62,246,271560,42297,40969,47527,48611,48193,43963
63,249,180439,31143,28594,31525,30437,30488,28252
64,261,56235,9625,8090,9675,9802,9594,9449
65,262,178854,34931,28863,29248,29396,29727,26689
66,263,242889,47969,39910,41486,38400,38970,36154
