,TimeCategory,DOLocationID,Number of PickUps
134,morning,4,2544
135,morning,12,1797
136,morning,13,19335
137,morning,24,3562
138,morning,41,6394
139,morning,42,4090
140,morning,43,23413
141,morning,45,3362
142,morning,48,25408
143,morning,50,16426
144,morning,68,29576
145,morning,74,12011
146,morning,75,23345
147,morning,79,11518
148,morning,87,10173
149,morning,88,9482
150,morning,90,17137
151,morning,100,24489
152,morning,105,1
153,morning,107,23819
154,morning,113,14871
155,morning,114,9512
156,morning,116,1885
157,morning,120,48
158,morning,125,8569
159,morning,127,355
160,morning,128,117
161,morning,137,21163
162,morning,140,34556
163,morning,141,27759
164,morning,142,33229
165,morning,143,15732
166,morning,144,7104
167,morning,148,4959
168,morning,151,7032
169,morning,152,2385
170,morning,153,37
171,morning,158,9416
172,morning,161,99720
173,morning,162,68832
174,morning,163,45144
175,morning,164,29523
176,morning,166,14661
177,morning,170,44837
178,morning,186,35704
179,morning,194,418
180,morning,202,163
181,morning,209,3292
182,morning,211,7927
183,morning,224,1939
184,morning,229,19141
185,morning,230,53116
186,morning,231,26979
187,morning,232,3125
188,morning,233,22671
189,morning,234,45589
190,morning,236,63963
191,morning,237,61821
192,morning,238,24452
193,morning,239,25888
194,morning,243,917
195,morning,244,5377
196,morning,246,33968
197,morning,249,12582
198,morning,261,6377
199,morning,262,11731
200,morning,263,17952
