,PULocationID,Half Year Sum,01,02,03,04,05,06
0,4,21943,3639,3804,4632,3441,3194,3233
1,12,603,77,63,70,90,153,150
2,13,15926,2495,2351,2628,2757,2776,2919
3,24,10162,1733,1536,1813,1625,1654,1801
4,41,17984,3118,2564,3275,2705,3000,3322
5,42,8771,1576,1313,1617,1310,1351,1604
6,43,23455,3932,3058,3608,3982,4337,4538
7,45,12781,2036,2136,2612,2137,1913,1947
8,48,230525,37271,34403,41881,36358,38257,42355
9,50,43821,6955,6893,7700,6837,7363,8073
10,68,162029,24734,24917,31292,26498,26794,27794
11,74,16075,2835,2326,2800,2311,2844,2959
12,75,21396,3656,3311,3699,3288,3690,3752
13,79,307996,52594,51044,59795,46687,46219,51657
14,87,26012,3947,4080,4638,3986,4518,4843
15,88,14742,2326,2252,2881,2394,2516,2373
16,90,97587,15025,14850,19005,15428,15785,17494
17,100,85318,12571,12737,17504,13550,13917,15039
18,105,12,1,2,2,3,2,2
19,107,121343,20444,19256,23166,18902,19551,20024
20,113,66115,10488,10248,12573,10729,10975,11102
21,114,152623,25426,25044,30055,23873,23175,25050
22,116,7757,1440,1169,1385,1155,1249,1359
23,120,40,4,8,7,2,7,12
24,125,37481,5660,5716,7363,6051,6037,6654
25,127,644,99,65,108,109,109,154
26,128,17,3,1,3,1,6,3
27,137,56798,10373,9144,10612,8472,8946,9251
28,140,32378,5829,5184,5790,5059,5333,5183
29,141,70603,12859,10708,12756,11072,11521,11687
30,142,108034,18703,17215,19707,19183,18494,14732
31,143,20950,3711,2996,3718,3423,3447,3655
32,144,84454,12742,13669,16184,13706,14117,14036
33,148,221158,36580,37759,43058,33932,32863,36966
34,151,18395,3436,2734,3191,2852,2964,3218
35,152,4672,761,690,827,709,756,929
36,153,33,7,2,3,6,5,10
37,158,101549,15286,15959,19068,15268,15875,20093
38,161,139063,21272,21021,26019,23650,24759,22342
39,162,101137,16315,15888,18655,16479,16897,16903
40,163,101925,16294,15888,18298,16836,18321,16288
41,164,143344,23164,22539,28312,22967,23278,23084
42,166,18938,3129,3137,3471,3108,2956,3137
43,170,103230,17309,16204,19144,15089,16835,18649
44,186,122406,18154,17720,24267,20570,20294,21401
45,194,208,30,37,34,32,33,42
46,202,113,22,14,14,22,23,18
47,209,12168,1858,1758,2188,1902,2131,2331
48,211,52367,7570,8409,9690,8636,9044,9018
49,224,6351,1118,1113,1133,1034,1056,897
50,229,65591,11544,10463,11874,10136,10727,10847
51,230,212440,32342,31991,41149,35068,36367,35523
52,231,86497,13307,13700,15729,14682,14643,14436
53,232,14639,2520,2551,2943,2388,2106,2131
54,233,34536,5667,5298,6431,5473,5788,5879
55,234,145585,24312,22789,27789,23457,23844,23394
56,236,44215,7905,6304,7056,7370,7750,7830
57,237,74471,12154,11005,12766,12288,13856,12402
58,238,42248,7585,5913,7049,6774,6265,8662
59,239,66530,11628,9500,11929,10464,11106,11903
60,243,1300,228,187,211,217,214,243
61,244,6090,1081,900,1034,910,1018,1147
62,246,89002,12587,12495,15370,14662,15342,18546
63,249,193540,30562,30812,37181,29953,31293,33739
64,261,14152,2255,2095,2631,2256,2356,2559
65,262,13879,2618,2098,2380,2215,2240,2328
66,263,67587,13143,10695,12096,10262,10621,10770
