DOLocationID,Number of DropOffs
236,285419
237,256547
161,250153
170,212043
162,196963
142,186236
234,184919
230,184583
48,182533
186,174664
239,174180
141,170486
79,156449
163,153390
68,151837
238,148225
107,145303
246,136671
164,135276
263,132245
229,126323
140,124817
249,110369
231,108942
90,101474
100,99824
137,98005
233,96519
143,96029
113,93418
262,90047
75,83696
50,82084
43,81138
114,69523
158,68854
148,65997
151,58358
144,57245
13,54785
211,54754
166,53298
74,52534
87,48542
41,42963
125,34348
4,31219
232,28794
224,28707
42,28048
261,25843
88,23077
24,22942
244,21996
45,17304
116,17168
209,16731
152,11093
243,10433
127,4258
12,3016
202,2133
194,376
128,350
153,284
120,247
105,12
