,DOLocationID,01,02,03,04,05,06,Half Year Sum
0,236,327122,285419,292411,308506,313994,265327,1792779
1,237,289080,256547,276020,290841,299887,255927,1668302
2,161,278813,250153,283353,276563,277416,253101,1619399
3,170,230019,212043,236007,216767,216395,207258,1318489
4,162,218126,196963,217467,207249,208894,193524,1242223
5,142,207801,186236,200933,193805,202211,175211,1166197
6,230,205058,184583,215364,203834,208523,189173,1206535
7,234,198053,184919,204376,190703,188940,169400,1136391
8,239,197942,174180,188994,178206,187211,166806,1093339
9,48,197295,182533,210612,189118,188030,183122,1150710
10,141,195128,170486,183009,174908,174721,159046,1057298
11,186,183957,174664,191171,175487,183212,173487,1081978
12,238,169667,148225,155438,149934,155624,138160,917048
13,163,165923,153390,172209,165165,169383,152392,978462
14,79,161778,156449,175293,152683,152676,139762,938641
15,68,160341,151837,177900,165028,161998,153021,970125
16,107,155787,145303,160280,145383,146832,132525,886110
17,263,152348,132245,139777,130237,135049,121664,811320
18,140,146075,124817,132699,126592,131610,116648,778441
19,164,143221,135276,154861,143739,142959,133285,853341
20,229,139773,126323,137542,129471,130035,119632,782776
21,246,137320,136671,145859,144502,145695,138159,848206
22,249,116501,110369,125506,115519,116284,107237,691416
23,231,114447,108942,122032,116834,116346,106288,684889
24,137,110767,98005,105058,93367,94428,87948,589573
25,143,108882,96029,101936,97128,100585,87693,592253
26,90,108858,101474,115396,105315,102207,94613,627863
27,100,107565,99824,119575,110299,107928,102842,648033
28,233,105389,96519,112610,100378,102478,96444,613818
29,262,103991,90047,91612,90889,94491,83089,554119
30,113,97477,93418,101795,97472,95027,83261,568450
31,75,93430,83696,90695,85788,89835,81648,525092
32,43,89352,81138,91436,103916,100626,88316,554784
33,50,83823,82084,96162,85095,84149,80231,511544
34,114,71048,69523,78564,72145,70310,64921,426511
35,158,70416,68854,78590,70255,74708,70705,433528
36,148,66864,65997,75293,69521,68485,64987,411147
37,151,65248,58358,62703,58790,63141,57482,365722
38,13,58953,54785,65035,67162,67468,64759,378162
39,144,58042,57245,65017,60698,62173,56729,359904
40,74,56597,52534,59675,54422,58099,55199,336526
41,211,54446,54754,61268,57157,58030,52055,337710
42,166,51535,53298,56773,57269,59552,50869,329296
43,87,51203,48542,54719,50826,53241,51617,310148
44,41,46283,42963,48494,44109,45935,42760,270544
45,125,34573,34348,38351,36994,36542,34348,215156
46,4,33322,31219,34814,30280,31107,28433,189175
47,232,32376,28794,32729,29665,29667,26744,179975
48,224,30243,28707,30541,27658,29009,25427,171585
49,42,29626,28048,32845,28547,29711,28174,176951
50,261,28218,25843,30856,30027,29971,29216,174131
51,24,25342,22942,25672,24506,25678,24223,148363
52,88,24693,23077,27118,26987,27471,26387,155733
53,244,23429,21996,25222,23354,24147,23935,142083
54,116,17878,17168,19789,17820,19067,20137,111859
55,45,17705,17304,19430,18240,17598,17011,107288
56,209,17150,16731,19780,18634,18997,18382,109674
57,152,11335,11093,12916,11272,11765,12118,70499
58,243,10806,10433,11873,11039,11312,11556,67019
59,127,4521,4258,4850,4479,4793,4698,27599
60,12,3541,3016,4098,4654,4602,4884,24795
61,202,2216,2133,2785,2566,2212,2013,13925
62,128,370,350,396,420,393,398,2327
63,194,367,376,551,1165,2562,1179,6200
64,153,310,284,297,257,252,307,1707
65,120,231,247,312,276,249,287,1602
66,105,2,12,4,5,8,8,39
