,PULocationID,01,02,03,04,05,06,Half Year Sum
0,237,321457,283861,299650,317430,335778,283875,1842051
1,236,315059,272739,273843,290215,302996,253284,1708136
2,161,291244,265737,302454,293886,276053,254292,1683666
3,162,257075,234464,262267,249504,248098,226246,1477654
4,186,246632,232848,260751,240184,242491,226788,1449694
5,230,239783,216361,249313,226656,221326,200707,1354146
6,142,226635,207129,219637,211592,226848,191183,1283024
7,48,225535,208851,237773,216892,217175,209672,1315898
8,234,224322,207985,232019,212903,209629,187298,1274156
9,170,222113,203178,223796,206386,209900,199897,1265270
10,239,202170,175783,191184,184190,194142,171797,1119266
11,163,185895,174292,192985,183555,186716,165939,1089382
12,141,183328,159067,169195,162085,163405,148417,985497
13,79,176810,169351,191200,164949,166671,157308,1026289
14,107,165842,150948,167781,153458,158625,144664,941318
15,68,162244,155857,183580,171457,168639,158379,1000156
16,164,158751,149715,170075,156140,155736,142794,933211
17,238,157762,136905,142612,141618,147022,132515,858434
18,263,149313,128176,134190,126829,130722,117501,786731
19,100,145559,132942,149353,135753,135842,129670,829119
20,140,141520,120340,126837,121759,126253,110384,747093
21,229,139268,123384,134688,128330,131623,121472,778765
22,249,134548,129385,146363,131996,134377,126850,803519
23,90,124877,118572,134475,121407,120581,113484,733396
24,231,108936,105874,116028,114169,114306,104509,663822
25,113,107384,102796,112769,106536,105297,93800,628582
26,43,103549,93998,103032,117955,121755,108750,649039
27,246,98893,98788,114862,122169,119482,115740,669934
28,262,95030,82205,85787,86163,87987,77870,515042
29,137,92503,80470,88039,78121,80375,74383,493891
30,143,92396,80936,86909,83774,87495,76952,508462
31,233,87084,80511,94779,85845,89143,85750,523112
32,114,86754,85084,95346,85970,82783,77727,513664
33,148,73317,73904,84504,72152,71620,71958,447455
34,151,67377,60172,64620,61315,64799,60653,378936
35,158,65457,65435,75964,67243,69632,69807,413538
36,144,59641,60174,68213,63398,64418,58544,374388
37,50,59337,59315,69846,62504,62656,58889,372547
38,13,56498,51549,60015,60307,61332,59571,349272
39,75,53413,48847,53509,49682,52183,47101,304735
40,211,51137,51104,56885,53510,54146,49423,316205
41,87,41905,39772,45720,43917,46268,44224,261806
42,125,38078,37711,42197,39713,39417,36494,233610
43,166,37755,39280,41722,40550,42045,37337,238689
44,261,33410,30113,37077,37363,36873,35395,210231
45,41,26884,25016,29815,25646,27389,25679,160429
46,74,25625,23710,28841,24494,26983,25263,154916
47,88,22193,20663,25110,23786,23766,22144,137662
48,24,21801,19797,22501,20824,22458,21399,128780
49,224,14647,13646,14461,13729,13791,12557,82831
50,4,12475,11759,13657,11125,11296,10200,70512
51,45,11750,11535,13228,12692,11874,11048,72127
52,209,11478,10649,12410,11660,12586,12457,71240
53,42,11196,10400,12922,10860,11219,10851,67448
54,232,8898,8720,10902,8661,8658,7714,53553
55,116,7661,7310,8861,7646,8330,8314,48122
56,244,7045,6777,7868,7282,7689,7530,44191
57,152,6422,6379,7535,6741,7164,7685,41926
58,12,1926,1620,2205,2777,2954,3459,14941
59,243,1165,1038,1177,1129,1150,1218,6877
60,127,551,506,617,555,602,654,3485
61,194,280,256,321,393,1032,423,2705
62,202,199,172,246,222,158,148,1145
63,153,121,98,138,88,82,68,595
64,128,44,45,45,43,58,49,284
65,120,31,26,34,28,24,30,173
66,105,10,9,10,9,11,5,54
